# Summary Generated Based on  Yukon Chinook Counts and ASL.xlsx,,,,,,
#  Provide by Zach Liller (ADFG) in June 2021,,,,,,
# Modifications,,,,,,
# Excluded a few rows with Method = Commercial or Subsistence,,,,,,
Project,Method,FirstYear,LastYear,NumYears,MinCount,MaxCount
Alatna River Aerial Surveys,Aerial Survey,1960,2015,10,0,230
Andreafsky River (East Fork) Aerial Surveys,Aerial Survey,2001,2020,16,84,2879
Andreafsky River (East Fork) Aerial Surveys,undefined,2000,2000,1,1018,1018
Andreafsky River (East Fork) Escapement,Weir,1994,2021,28,1148,8045
Andreafsky River (East Fork) Escapement,Tower,1986,1988,3,1341,2011
Andreafsky River Aerial Surveys,Aerial Survey,1954,2020,61,150,8620
Andreafsky River Aerial Surveys,Sonar,1981,1981,1,5343,5343
Andreafsky River Aerial Surveys,undefined,2000,2000,1,427,427
Andreafsky River Aerial Surveys,Boat,1956,1982,2,109,198
Andreafsky River Aerial Surveys,Foot,1968,1968,1,0,0
Anvik River Aerial Surveys,Aerial Survey,1958,2020,55,25,3979
Anvik River Aerial Surveys,undefined,2000,2000,1,1394,1394
Anvik River Aerial Surveys,Tower,1972,1979,8,471,1261
Anvik River Aerial Surveys,Boat,1971,1979,6,0,245
Anvik River Aerial Surveys,Foot,1957,1968,2,0,0
Anvik River Aerial Surveys,Sonar,1979,1980,2,0,0
Anvik River Escapement,Tower,1972,1976,5,472,1104
Archuelinguk River (Clearwater Creek) near Mountain Village,Aerial Survey,1958,2011,11,0,87
Archuelinguk River (Clearwater Creek) near Mountain Village,Unknown,1960,1960,1,10,10
Archuelinguk River (Clearwater Creek) near Mountain Village,Foot,1956,1956,1,9,9
Archuelinguk River (Clearwater Creek) near Mountain Village,Boat,1977,1977,1,7,7
Atchuelinguk (Chulinak),Aerial Survey,2012,2018,3,23,423
Baker Creek Aerial Surveys,Foot,1974,1974,1,0,0
Banner Creek Aerial Surveys,Foot,1975,1975,1,0,0
Barton Creek Aerial Surveys,Aerial Survey,1983,2008,11,0,561
Batza Creek Aerial Surveys,Aerial Survey,1975,1975,1,0,0
Bear Creek (Tributary Salchaket Slough) Aerial Surveys,Aerial Survey,1986,2006,3,0,6
Bear Creek (Y4 Below Bullfrog Island) Aerial Surveys,Aerial Survey,1960,2012,4,0,8
Bearpaw River Aerial Surveys,Aerial Survey,1973,2014,19,0,390
Bearpaw River Aerial Surveys,Foot,1982,1982,1,3,3
Beaver Creek (Downstream Beaver Village) Aerial Surveys,Boat,1987,1994,5,1,302
Beaver Creek (Downstream Beaver Village) Aerial Surveys,Aerial Survey,1985,2012,3,3,31
Beaver Creek (Downstream Beaver Village) Escapement,Weir,1996,2000,4,114,315
Beaver Creek (Tributary Anvik River) Aerial Surveys,Aerial Survey,1985,2013,4,29,81
Benchmark No 735 Slough Aerial Surveys,Aerial Survey,1972,1980,8,0,0
Benchmark No 735 Slough Aerial Surveys,Foot,1980,1980,1,0,0
Big Salt River Aerial Surveys,Aerial Survey,1974,2001,2,0,3
Billy Creek Slough Aerial Surveys,Aerial Survey,1980,1980,1,0,0
Birch Creek (Downstream Fort Yukon) Aerial Surveys,Foot,1971,1971,1,4,4
Birch Creek (Tributary Kantishna River) Aerial Surveys,Aerial Survey,1974,1974,1,0,0
Black River Aerial Surveys,Aerial Survey,1975,1985,2,0,0
Black Sand Creek,Aerial Survey,2012,2012,1,0,0
Blackburn Creek Aerial Surveys,Foot,1992,1994,3,0,2
Blackburn Creek Aerial Surveys,Aerial Survey,1976,2012,2,0,0
Blue Creek Aerial Surveys,Aerial Survey,1974,1976,2,0,0
Bluff Cabin Slough Aerial Surveys,Aerial Survey,1972,1980,9,0,0
Bluff Cabin Slough Aerial Surveys,Foot,1978,1978,1,0,0
Bluff Cabin Slough Aerial Surveys,Literature review,1975,1975,1,0,0
Bonasila River Aerial Surveys,Aerial Survey,1959,2019,10,0,800
Bonasila River Aerial Surveys,Foot,1957,1957,1,1,1
California Creek,Aerial Survey,2011,2012,2,1,20
Canyon Creek Aerial Surveys,Aerial Survey,1985,1985,1,8,8
Caribou Creek (Tributary Hogatza River) Aerial Surveys,Aerial Survey,1997,2020,4,0,8
Central Creek Aerial Surveys,Aerial Survey,2001,2004,4,0,8
Chandalar River Aerial Surveys,Aerial Survey,1974,1988,8,0,62
